Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999,award,Coach,W,L,W/L%,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Games
1975-76,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Dave Cowens C,John Havlicek F,Elvin Hayes F,Phil Smith G,Randy Smith G,
1975-76,ABA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Artis Gilmore C,Julius Erving F,Billy Knight F,James Silas G,Ralph Simpson G,
1975-76,ABA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Dan Issel C,Bobby Jones F,David Thompson F,Don Buse G,George Gervin G,
1974-75,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bob McAdoo C,Rick Barry F,Elvin Hayes F,Tiny Archibald G,Walt Frazier G,
1974-75,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Dave Cowens C,John Havlicek F,Spencer Haywood F,Phil Chenier G,Jo Jo White G,
1974-75,ABA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Artis Gilmore C,Julius Erving F,George McGinnis F,Ron Boone G,Mack Calvin G,
1974-75,ABA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Swen Nater C,Marvin Barnes F,George Gervin F,James Silas G,Brian Taylor G,
1973-74,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Rick Barry F,John Havlicek F,Walt Frazier G,Gail Goodrich G,
1973-74,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bob McAdoo C,Elvin Hayes F,Spencer Haywood F,Dave Bing G,Norm Van Lier G,
1973-74,ABA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Artis Gilmore C,Julius Erving F,George McGinnis F,Mack Calvin G,Jimmy Jones G,
1973-74,ABA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Swen Nater C,Dan Issel F,Willie Wise F,Ron Boone G,Louie Dampier G,
1972-73,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,John Havlicek F,Spencer Haywood F,Tiny Archibald G,Jerry West G,
1972-73,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Dave Cowens C,Rick Barry F,Elvin Hayes F,Walt Frazier G,Pete Maravich G,
1972-73,ABA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Artis Gilmore C,Billy Cunningham F,Julius Erving F,Warren Jabali G,Jimmy Jones G,
1972-73,ABA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Mel Daniels C,Dan Issel F,George McGinnis F,Mack Calvin G,Ralph Simpson G,
1971-72,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,John Havlicek F,Spencer Haywood F,Walt Frazier G,Jerry West G,
1971-72,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Wilt Chamberlain C,Billy Cunningham F,Bob Love F,Tiny Archibald G,Archie Clark G,
1971-72,ABA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Artis Gilmore C,Rick Barry F,Dan Issel F,Donnie Freeman G,Bill Melchionni G,
1971-72,ABA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Zelmo Beaty C,Julius Erving F,Willie Wise F,Charlie Scott G,Ralph Simpson G,
1970-71,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Billy Cunningham F,John Havlicek F,Dave Bing G,Jerry West G,
1970-71,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Willis Reed C,Gus Johnson F,Bob Love F,Walt Frazier G,Oscar Robertson G,
1970-71,ABA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Mel Daniels C,Rick Barry F,Roger Brown F,Mack Calvin G,Charlie Scott G,
1970-71,ABA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,John Brisker F,Joe Caldwell F,Larry Cannon G,Donnie Freeman G,Zelmo Beaty C Dan Issel C (T),
1969-70,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Willis Reed C,Billy Cunningham F,Connie Hawkins F,Walt Frazier G,Jerry West G,
1969-70,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,John Havlicek F,Gus Johnson F,Lou Hudson G,Oscar Robertson G,
1969-70,ABA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Mel Daniels C,Rick Barry F,Spencer Haywood F,Larry Jones G,Bob Verga G,
1969-70,ABA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Red Robbins C,Roger Brown F,Bob Netolicky F,Louie Dampier G,Donnie Freeman G,
1968-69,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Wes Unseld C,Elgin Baylor F,Billy Cunningham F,Earl Monroe G,Oscar Robertson G,
1968-69,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Willis Reed C,Dave DeBusschere F,John Havlicek F,Hal Greer G,Jerry West G,
1968-69,ABA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Mel Daniels C,Rick Barry F,Connie Hawkins F,Jimmy Jones G,Larry Jones G,
1968-69,ABA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Red Robbins C,John Beasley F,Doug Moe F,Louie Dampier G,Donnie Freeman G,
1967-68,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Wilt Chamberlain C,Elgin Baylor F,Jerry Lucas F,Dave Bing G,Oscar Robertson G,
1967-68,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,John Havlicek F,Willis Reed F,Hal Greer G,Jerry West G,
1967-68,ABA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Mel Daniels C,Connie Hawkins F,Doug Moe F,Larry Jones G,Charles Williams G,
1967-68,ABA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,John Beasley C,Roger Brown F,Cincy Powell F,Larry Brown G,Louie Dampier G,
1966-67,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Wilt Chamberlain C,Rick Barry F,Elgin Baylor F,Oscar Robertson G,Jerry West G,
1966-67,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,Jerry Lucas F,Willis Reed F,Hal Greer G,Sam Jones G,
1965-66,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Wilt Chamberlain C,Rick Barry F,Jerry Lucas F,Oscar Robertson G,Jerry West G,
1965-66,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,John Havlicek F,Gus Johnson F,Hal Greer G,Sam Jones G,
1964-65,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,Elgin Baylor F,Jerry Lucas F,Oscar Robertson G,Jerry West G,
1964-65,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Wilt Chamberlain C,Gus Johnson F,Bob Pettit F,Hal Greer G,Sam Jones G,
1963-64,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G,
1963-64,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,Tom Heinsohn F,Jerry Lucas F,Hal Greer G,John Havlicek G,
1962-63,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G,
1962-63,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Wilt Chamberlain C,Tom Heinsohn F,Bailey Howell F,Bob Cousy G,Hal Greer G,
1961-62,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G,
1961-62,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,Tom Heinsohn F,Jack Twyman F,Bob Cousy G,Richie Guerin G,
1960-61,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Bob Cousy G,Oscar Robertson G,
1960-61,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,Tom Heinsohn F,Dolph Schayes F,Larry Costello G,Gene Shue G,
1959-60,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Bob Cousy G,Gene Shue G,
1959-60,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,Dolph Schayes F,Jack Twyman F,Richie Guerin G,Bill Sharman G,
1958-59,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,Elgin Baylor F,Bob Pettit F,Bob Cousy G,Bill Sharman G,
1958-59,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Dolph Schayes C,Paul Arizin F,Cliff Hagan F,Richie Guerin G,Slater Martin G,
1957-58,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bob Pettit C,Dolph Schayes F,George Yardley F,Bob Cousy G,Bill Sharman G,
1957-58,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bill Russell C,Cliff Hagan F,Maurice Stokes F,Tom Gola G,Slater Martin G,
1956-57,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bob Pettit C,Paul Arizin F,Dolph Schayes F,Bob Cousy G,Bill Sharman G,
1956-57,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Neil Johnston C,Maurice Stokes F,George Yardley F,Dick Garmaker G,Slater Martin G,
1955-56,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Neil Johnston C,Paul Arizin F,Bob Pettit F,Bob Cousy G,Bill Sharman G,
1955-56,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Clyde Lovellette C,Dolph Schayes F,Maurice Stokes F,Jack George G,Slater Martin G,
1954-55,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bob Cousy,Larry Foust,Neil Johnston,Bob Pettit,Dolph Schayes,
1954-55,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Harry Gallatin,Slater Martin,Vern Mikkelsen,Paul Seymour,Bill Sharman,
1953-54,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bob Cousy,Harry Gallatin,Neil Johnston,George Mikan,Dolph Schayes,
1953-54,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Carl Braun,Ed Macauley,Jim Pollard,Paul Seymour,Bobby Wanzer,
1952-53,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bob Cousy,Neil Johnston,Ed Macauley,George Mikan,Dolph Schayes,
1952-53,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bob Davies,Vern Mikkelsen,Andy Phillip,Bill Sharman,Bobby Wanzer,
1951-52,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Paul Arizin,Bob Cousy,Ed Macauley,George Mikan,Bob Davies  Dolph Schayes (T),
1951-52,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Larry Foust,Vern Mikkelsen,Andy Phillip,Jim Pollard,Bobby Wanzer,
1950-51,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Ralph Beard,Bob Davies,Alex Groza,Ed Macauley,George Mikan,
1950-51,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Frankie Brian,Joe Fulks,Dick McGuire,Vern Mikkelsen,Dolph Schayes,
1949-50,NBA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bob Davies,Alex Groza,George Mikan,Jim Pollard,Max Zaslofsky,
1949-50,NBA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Ralph Beard,Frankie Brian,Al Cervi,Fred Schaus,Dolph Schayes,
1948-49,BAA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bob Davies,Joe Fulks,George Mikan,Jim Pollard,Max Zaslofsky,
1948-49,BAA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bob Feerick,John Logan,Bones McKinney,Arnie Risen,Kenny Sailors,
1947-48,BAA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Howie Dallmar,Bob Feerick,Joe Fulks,Ed Sadowski,Max Zaslofsky,
1947-48,BAA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Carl Braun,Buddy Jeannette,John Logan,Stan Miasek,Fred Scolari,
1946-47,BAA,,,,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bob Feerick,Joe Fulks,Bones McKinney,Stan Miasek,Max Zaslofsky,
1946-47,BAA,,,,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Frankie Baumholtz,Ernie Calverley,Chick Halbert,John Logan,Fred Scolari,
2024-25,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Stephon Castle,Zach Edey,Zaccharie Risacher,Alex Sarr,Jaylen Wells,
2024-25,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Matas Buzelis,Bub Carrington,Donovan Clingan,Yves Missi,Kel'el Ware,
2023-24,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Chet Holmgren,Jaime Jaquez,Brandon Miller,Brandin Podziemski,Victor Wembanyama,
2023-24,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Dereck Lively,Gregory Jackson,Keyonte George,Amen Thompson,Cason Wallace,
2022-23,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Paolo Banchero,Walker Kessler,Bennedict Mathurin,Keegan Murray,Jalen Williams,
2022-23,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Jalen Duren,Tari Eason,Jaden Ivey,Jabari Smith,Jeremy Sochan,
2021-22,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Scottie Barnes,Cade Cunningham,Evan Mobley,Franz Wagner,Jalen Green,
2021-22,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Herbert Jones,Josh Giddey,Bones Hyland,Ayo Dosunmu,Chris Duarte,
2020-21,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,LaMelo Ball,Saddiq Bey,Anthony Edwards,Tyrese Haliburton,Jae'Sean Tate,
2020-21,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Desmond Bane,Isaac Okoro,Immanuel Quickley,Isaiah Stewart,Patrick Williams,
2019-20,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Ja Morant,Kendrick Nunn,Brandon Clarke,Zion Williamson,Eric Paschall,
2019-20,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Tyler Herro,Terence Davis,Coby White,P.J. Washington,Rui Hachimura,
2018-19,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Luka Dončić,Trae Young,Deandre Ayton,Jaren Jackson,Marvin Bagley,
2018-19,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Shai Gilgeous-Alexander,Collin Sexton,Landry Shamet,Mitchell Robinson,Kevin Huerter,
2017-18,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Donovan Mitchell,Ben Simmons,Jayson Tatum,Kyle Kuzma,Lauri Markkanen,
2017-18,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Dennis Smith,Lonzo Ball,John Collins,Bogdan Bogdanović,Josh Jackson,
2016-17,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Malcolm Brogdon,Dario Šarić,Joel Embiid,Buddy Hield,Willy Hernangómez,
2016-17,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Jamal Murray,Jaylen Brown,Marquese Chriss,Brandon Ingram,Yogi Ferrell,
2015-16,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Karl-Anthony Towns,Kristaps Porziņģis,Devin Booker,Nikola Jokić,Jahlil Okafor,
2015-16,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Justise Winslow,D'Angelo Russell,Emmanuel Mudiay,Myles Turner,Willie Cauley-Stein,
2014-15,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Andrew Wiggins,Nikola Mirotić,Nerlens Noel,Elfrid Payton,Jordan Clarkson,
2014-15,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Marcus Smart,Zach LaVine,Bojan Bogdanović,Jusuf Nurkić,Langston Galloway,
2013-14,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Michael Carter-Williams,Victor Oladipo,Trey Burke,Mason Plumlee,Tim Hardaway,
2013-14,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Kelly Olynyk,Giannis Antetokounmpo,Gorgui Dieng,Cody Zeller,Steven Adams,
2012-13,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Harrison Barnes,Bradley Beal,Anthony Davis,Damian Lillard,Dion Waiters,
2012-13,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Andre Drummond,Michael Kidd-Gilchrist,Kyle Singler,Jonas Valančiūnas,Tyler Zeller,
2011-12,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Kenneth Faried,Kyrie Irving,Ricky Rubio,Klay Thompson,Brandon Knight Kawhi Leonard Iman Shumpert (T),
2011-12,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,MarShon Brooks,Chandler Parsons,Isaiah Thomas,Tristan Thompson,Derrick Williams,
2010-11,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,DeMarcus Cousins,Landry Fields,Blake Griffin,Gary Neal,John Wall,
2010-11,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Eric Bledsoe,Derrick Favors,Paul George,Wesley Johnson,Greg Monroe,
2009-10,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Darren Collison,Stephen Curry,Tyreke Evans,Taj Gibson,Brandon Jennings,
2009-10,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,DeJuan Blair,Jonny Flynn,James Harden,Jonas Jerebko,Marcus Thornton,
2008-09,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Michael Beasley,Brook Lopez,O.J. Mayo,Derrick Rose,Russell Westbrook,
2008-09,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Mario Chalmers,Marc Gasol,Eric Gordon,Kevin Love,D.J. Augustin Rudy Fernández (T),
2007-08,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Kevin Durant,Jeff Green,Al Horford,Luis Scola,Al Thornton,
2007-08,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Carl Landry,Jamario Moon,Juan Carlos Navarro,Rodney Stuckey,Thaddeus Young,
2006-07,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Andrea Bargnani,Randy Foye,Rudy Gay,Brandon Roy,LaMarcus Aldridge Jorge Garbajosa (T),
2006-07,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Paul Millsap,Adam Morrison,Craig Smith,Tyrus Thomas,Walter Herrmann Rajon Rondo Marcus Williams (T),
2005-06,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Andrew Bogut,Channing Frye,Chris Paul,Charlie Villanueva,Deron Williams,
2005-06,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Raymond Felton,Ryan Gomes,Danny Granger,Luther Head,Marvin Williams,
2004-05,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Luol Deng,Ben Gordon,Dwight Howard,Andre Iguodala,Emeka Okafor,
2004-05,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Josh Childress,Al Jefferson,Nenad Krstić,Jameer Nelson,Josh Smith,
2003-04,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Carmelo Anthony,Chris Bosh,Kirk Hinrich,LeBron James,Dwyane Wade,
2003-04,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Marquis Daniels,T.J. Ford,Udonis Haslem,Jarvis Hayes,Josh Howard,
2002-03,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Caron Butler,Drew Gooden,Nenê Hilário,Yao Ming,Amar'e Stoudemire,
2002-03,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Carlos Boozer,J.R. Bremer,Manu Ginóbili,Gordan Giriček,Jay Williams,
2001-02,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Shane Battier,Pau Gasol,Andrei Kirilenko,Tony Parker,Jason Richardson,
2001-02,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Eddie Griffin,Richard Jefferson,Željko Rebrača,Jamaal Tinsley,Joe Johnson Vladimir Radmanović (T),
2000-01,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Marc Jackson,Kenyon Martin,Darius Miles,Mike Miller,Morris Peterson,
2000-01,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Courtney Alexander,Marcus Fizer,Desmond Mason,Chris Mihm,Hedo Türkoğlu,
1999-00,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Elton Brand,Steve Francis,Andre Miller,Lamar Odom,Wally Szczerbiak,
1999-00,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Metta World Peace,Chucky Atkins,Shawn Marion,James Posey,Jason Terry,
1998-99,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Mike Bibby,Vince Carter,Matt Harpring,Paul Pierce,Jason Williams,
1998-99,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Michael Dickerson,Michael Doleac,Antawn Jamison,Cuttino Mobley,Michael Olowokandi,
1997-98,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Tim Duncan,Zydrunas Ilgauskas,Brevin Knight,Ron Mercer,Keith Van Horn,
1997-98,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Derek Anderson,Cedric Henderson,Bobby Jackson,Maurice Taylor,Tim Thomas,
1996-97,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Shareef Abdur-Rahim,Marcus Camby,Allen Iverson,Stephon Marbury,Antoine Walker,
1996-97,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Ray Allen,Kobe Bryant,Kerry Kittles,Travis Knight,Matt Maloney,
1995-96,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Antonio McDyess,Joe Smith,Jerry Stackhouse,Damon Stoudamire,Michael Finley Arvydas Sabonis (T),
1995-96,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Brent Barry,Tyus Edney,Kevin Garnett,Bryant Reeves,Rasheed Wallace,
1994-95,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Brian Grant,Grant Hill,Eddie Jones,Jason Kidd,Glenn Robinson,
1994-95,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Juwan Howard,Eric Montross,Wesley Person,Jalen Rose,Donyell Marshall Sharone Wright (T),
1993-94,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Vin Baker,Anfernee Hardaway,Jamal Mashburn,Isaiah Rider,Chris Webber,
1993-94,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Shawn Bradley,Lindsey Hunter,Toni Kukoč,Dino Radja,Nick Van Exel,
1992-93,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,LaPhonso Ellis,Tom Gugliotta,Christian Laettner,Alonzo Mourning,Shaquille O'Neal,
1992-93,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Richard Dumas,Robert Horry,Latrell Sprewell,Clarence Weatherspoon,Walt Williams,
1991-92,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Stacey Augmon,Larry Johnson,Dikembe Mutombo,Billy Owens,Steve Smith,
1991-92,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Terrell Brandon,Rick Fox,Mark Macon,Stanley Roberts,Larry Stewart,
1990-91,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Dee Brown,Derrick Coleman,Kendall Gill,Dennis Scott,Lionel Simmons,
1990-91,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Mahmoud Abdul-Rauf,Willie Burton,Travis Mays,Gary Payton,Felton Spencer,
1989-90,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Vlade Divac,Sherman Douglas,Tim Hardaway,Pooh Richardson,David Robinson,
1989-90,NBA,,(V),,2nd,,,,,,,,,,,,,,all_rookie_teams,,,,,Blue Edwards,Sean Elliott,Stacey King,J.R. Reid,Glen Rice,
1988-89,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Willie Anderson,Hersey Hawkins,Mitch Richmond,Charles Smith,Rik Smits,
1987-88,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Greg Anderson,Armen Gilliam,Mark Jackson,Derrick McKey,Kenny Smith,
1986-87,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Brad Daugherty,Ron Harper,Chuck Person,Roy Tarpley,Hot Rod Williams,
1985-86,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Joe Dumars,Patrick Ewing,Karl Malone,Xavier McDaniel,Charles Oakley,
1984-85,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Charles Barkley,Sam Bowie,Michael Jordan,Hakeem Olajuwon,Sam Perkins,
1983-84,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Jeff Malone,Ralph Sampson,Byron Scott,Steve Stipanovich,Thurl Bailey Darrell Walker (T),
1982-83,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Terry Cummings,Quintin Dailey,Clark Kellogg,Dominique Wilkins,James Worthy,
1981-82,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Jeff Ruland,Isiah Thomas,Kelly Tripucka,Jay Vincent,Buck Williams,
1980-81,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Joe Barry Carroll,Darrell Griffith,Kevin McHale,Kelvin Ransey,Larry Smith,
1979-80,NBA,,(V),,1st,,,,,,,,,,,,,,all_rookie_teams,,,,,Larry Bird,Bill Cartwright,Dave Greenwood,Magic Johnson,Calvin Natt,
