player,team,number,position,height,weight,last_attended,country,birthdate,profile_url,is_active,is_free_agent,is_retired,experience,headshot_url,legacy,pid,position_list,position_primary,position_alt,draft_year,draft_round,draft_pick,draft_status,player_id
Alonzo Bradley,RET,22,FORWARD,78.0,190.0,Texas Southern,USA,1953-10-16,https://www.nba.com/player/76229/HISTADD-alonzo-bradley,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76229.png,True,76229,['FORWARD'],FORWARD,,1977,1,29,Drafted,bradlal02
Avery Bradley,RET,20,GUARD,75.0,180.0,University of Texas at Austin,USA,1990-11-26,https://www.nba.com/player/202340/avery-bradley,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202340.png,False,202340,['GUARD'],GUARD,,2010,1,19,Drafted,bradlav01
Bill Bradley,RET,24,FORWARD,77.0,205.0,Princeton,USA,1943-07-28,https://www.nba.com/player/76233/HISTADD-bill-bradley,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76233.png,True,76233,['FORWARD'],FORWARD,,1965,1,,Drafted,bradlbi01
Charles Bradley,RET,30,GUARD,77.0,215.0,Wyoming,USA,1959-05-16,https://www.nba.com/player/76230/HISTADD-charles-bradley,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76230.png,True,76230,['GUARD'],GUARD,,1981,1,23,Drafted,bradlch01
Dudley Bradley,RET,22,GUARD,78.0,195.0,North Carolina,USA,1957-03-19,https://www.nba.com/player/76231/HISTADD-dudley-bradley,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76231.png,True,76231,['GUARD'],GUARD,,1979,1,13,Drafted,bradldu01
Joe Bradley,RET,,GUARD,75.0,175.0,Oklahoma State,USA,1928-09-24,https://www.nba.com/player/76232/HISTADD-joe-bradley,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76232.png,True,76232,['GUARD'],GUARD,,0,0,0,UDF,bradljo01
Michael Bradley,RET,5,FORWARD,82.0,245.0,Villanova,USA,1979-04-18,https://www.nba.com/player/2214/michael-bradley,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2214.png,False,2214,['FORWARD'],FORWARD,,2001,1,17,Drafted,bradlmi01
Shawn Bradley,RET,44,CENTER,90.0,275.0,Brigham Young,USA,1972-03-22,https://www.nba.com/player/762/shawn-bradley,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/762.png,False,762,['CENTER'],CENTER,,1993,1,2,Drafted,bradlsh01
Tony Bradley,IND,13,CENTER-FORWARD,83.0,248.0,North Carolina,USA,1998-01-08,https://www.nba.com/player/1628396/tony-bradley,True,False,False,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628396.png,False,1628396,"['CENTER', 'FORWARD']",CENTER,FORWARD,2017,1,28,Drafted,bradlto01
Mark Bradtke,RET,50,CENTER,82.0,265.0,Melbourne,Australia,1968-09-27,https://www.nba.com/player/1361/mark-bradtke,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1361.png,False,1361,['CENTER'],CENTER,,0,0,0,UDF,bradtma01
Marques Bragg,RET,33,FORWARD,80.0,230.0,Providence,USA,1970-03-24,https://www.nba.com/player/66/marques-bragg,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/66.png,False,66,['FORWARD'],FORWARD,,0,0,0,UDF,braggma01
Torraye Braggs,RET,32,FORWARD,80.0,245.0,Xavier,USA,1976-05-15,https://www.nba.com/player/1765/torraye-braggs,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1765.png,False,1765,['FORWARD'],FORWARD,,1998,2,57,Drafted,braggto01
A.J. Bramlett,RET,,CENTER,82.0,227.0,Arizona,USA,1977-01-10,https://www.nba.com/player/1920/a.j.-bramlett,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,False,1920,['CENTER'],CENTER,,0,0,0,UDF,bramlaj01
Adrian Branch,RET,1,FORWARD,79.0,185.0,Maryland,USA,1963-11-17,https://www.nba.com/player/76237/HISTADD-adrian-branch,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76237.png,True,76237,['FORWARD'],FORWARD,,1985,1,46,Drafted,brancad01
Elton Brand,RET,42,FORWARD,81.0,254.0,Duke,USA,1979-03-11,https://www.nba.com/player/1882/elton-brand,False,False,True,18.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1882.png,False,1882,['FORWARD'],FORWARD,,1999,1,1,Drafted,brandel01
Terrell Brandon,RET,7,GUARD,71.0,173.0,Oregon,USA,1970-05-20,https://www.nba.com/player/210/terrell-brandon,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/210.png,False,210,['GUARD'],GUARD,,1991,1,11,Drafted,brandte01
Malaki Branham,SAS,22,FORWARD,76.0,180.0,Ohio State,USA,2003-05-12,https://www.nba.com/player/1631103/malaki-branham,True,False,False,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631103.png,False,1631103,['FORWARD'],FORWARD,,2022,1,20,Drafted,branhma01
Bob Brannum,RET,18,FORWARD,78.0,215.0,Michigan State,USA,1925-05-28,https://www.nba.com/player/76238/HISTADD-bob-brannum,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76238.png,True,76238,['FORWARD'],FORWARD,,0,0,0,UDF,brannbo01
Brad Branson,RET,52,FORWARD,82.0,220.0,Southern Methodist,USA,1958-09-24,https://www.nba.com/player/76239/HISTADD-bradley-branson,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76239.png,True,76239,['FORWARD'],FORWARD,,1980,1,45,Drafted,bransbr01
Jesse Branson,RET,22,FORWARD,79.0,195.0,Elon,USA,1942-01-07,https://www.nba.com/player/76240/HISTADD-jesse-branson,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76240.png,True,76240,['FORWARD'],FORWARD,,1965,1,13,Drafted,bransje01
Jarrell Brantley,RET,,FORWARD,77.0,250.0,College of Charleston,USA,1996-06-07,https://www.nba.com/player/1629714/jarrell-brantley,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629714.png,False,1629714,['FORWARD'],FORWARD,,2019,2,50,Drafted,brantja01
Jim Brasco,RET,15,GUARD,73.0,170.0,New York University,USA,1931-02-03,https://www.nba.com/player/76241/HISTADD-jim-brasco,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76241.png,True,76241,['GUARD'],GUARD,,1952,1,,Drafted,brascji01
Mike Bratz,RET,10,GUARD,74.0,185.0,Stanford,USA,1955-10-17,https://www.nba.com/player/76242/HISTADD-mike-bratz,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76242.png,True,76242,['GUARD'],GUARD,,1977,1,66,Drafted,bratzmi01
Carl Braun,RET,4,GUARD,77.0,180.0,Colgate,USA,1927-09-25,https://www.nba.com/player/76243/HISTADD-carl-braun,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76243.png,True,76243,['GUARD'],GUARD,,0,0,0,UDF,braunca01
Christian Braun,DEN,0,GUARD,78.0,220.0,Kansas,USA,2001-04-17,https://www.nba.com/player/1631128/christian-braun,True,False,False,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631128.png,False,1631128,['GUARD'],GUARD,,2022,1,21,Drafted,braunch01
Ignas Brazdeikis,RET,17,FORWARD,78.0,221.0,Michigan,Canada,1999-01-08,https://www.nba.com/player/1629649/ignas-brazdeikis,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629649.png,False,1629649,['FORWARD'],FORWARD,,2019,2,47,Drafted,brazdig01
Tim Breaux,RET,,FORWARD,79.0,215.0,Wyoming,USA,1970-09-19,https://www.nba.com/player/160/tim-breaux,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/160.png,False,160,['FORWARD'],FORWARD,,0,0,0,UDF,breauti01
J.R. Bremer,RET,9,GUARD,74.0,185.0,St. Bonaventure,USA,1980-09-19,https://www.nba.com/player/2452/j.r.-bremer,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,False,2452,['GUARD'],GUARD,,0,0,0,UDF,bremejr01
Pete Brennan,RET,15-16,FORWARD,78.0,205.0,North Carolina,USA,1936-09-23,https://www.nba.com/player/76245/HISTADD-pete-brennan,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76245.png,True,76245,['FORWARD'],FORWARD,,1958,1,4,Drafted,brennpe01
Tom Brennan,RET,14,FORWARD,75.0,195.0,Villanova,USA,1930-08-06,https://www.nba.com/player/76246/HISTADD-tom-brennan,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76246.png,True,76246,['FORWARD'],FORWARD,,1952,1,,Drafted,brennto01
Randy Breuer,RET,45,CENTER,87.0,230.0,Minnesota,USA,1960-10-11,https://www.nba.com/player/76247/HISTADD-randy-breuer,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76247.png,True,76247,['CENTER'],CENTER,,1983,1,18,Drafted,breuera01
Corey Brewer,RET,13,GUARD-FORWARD,81.0,188.0,Florida,USA,1986-03-05,https://www.nba.com/player/201147/corey-brewer,False,False,True,14.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201147.png,False,201147,"['GUARD', 'FORWARD']",GUARD,FORWARD,2007,1,7,Drafted,breweco01
Jamison Brewer,RET,,GUARD,76.0,195.0,Auburn,USA,1980-11-19,https://www.nba.com/player/2249/jamison-brewer,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2249.png,False,2249,['GUARD'],GUARD,,2001,2,40,Drafted,breweja01
Jim Brewer,RET,8,FORWARD,81.0,210.0,Minnesota,USA,1951-12-03,https://www.nba.com/player/76248/HISTADD-jim-brewer,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76248.png,True,76248,['FORWARD'],FORWARD,,1973,1,2,Drafted,breweji01
Ron Brewer,RET,10,GUARD,76.0,180.0,Arkansas,USA,1955-09-16,https://www.nba.com/player/76249/HISTADD-ron-brewer,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76249.png,True,76249,['GUARD'],GUARD,,1978,1,7,Drafted,brewero01
Ronnie Brewer,RET,11,FORWARD,79.0,235.0,Arkansas,USA,1985-03-20,https://www.nba.com/player/200758/ronnie-brewer,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200758.png,False,200758,['FORWARD'],FORWARD,,2006,1,14,Drafted,brewero02
Primoz Brezec,RET,9,CENTER,85.0,255.0,Union Olimpija,Slovenia,1979-10-02,https://www.nba.com/player/2056/primoz-brezec,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2056.png,False,2056,['CENTER'],CENTER,,2000,1,27,Drafted,brezepr01
Frank Brian,RET,7,GUARD,73.0,180.0,Louisiana State,USA,1923-05-01,https://www.nba.com/player/76250/HISTADD-flash-brian,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76250.png,True,76250,['GUARD'],GUARD,,0,0,0,UDF,brianfr01
Frank Brickowski,RET,,FORWARD,81.0,240.0,Penn State,USA,1959-08-14,https://www.nba.com/player/783/frank-brickowski,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/783.png,False,783,['FORWARD'],FORWARD,,1981,3,57,Drafted,brickfr01
Junior Bridgeman,RET,2,FORWARD,77.0,210.0,Louisville,USA,1953-09-17,https://www.nba.com/player/76252/HISTADD-junior-bridgeman,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76252.png,True,76252,['FORWARD'],FORWARD,,1975,1,8,Drafted,bridgju01
Bill Bridges,RET,32,FORWARD,77.0,228.0,Kansas,USA,1939-04-04,https://www.nba.com/player/76253/HISTADD-bill-bridges,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76253.png,True,76253,['FORWARD'],FORWARD,,1961,1,32,Drafted,bridgbi01
Jalen Bridges,PHX,15,FORWARD,80.0,225.0,Baylor,USA,2001-05-14,https://www.nba.com/player/1641779/jalen-bridges,True,False,False,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641779.png,False,1641779,['FORWARD'],FORWARD,,0,0,0,UDF,bridgja01
Mikal Bridges,NYK,25,GUARD-FORWARD,78.0,209.0,Villanova,USA,1996-08-30,https://www.nba.com/player/1628969/mikal-bridges,True,False,False,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628969.png,False,1628969,"['GUARD', 'FORWARD']",GUARD,FORWARD,2018,1,10,Drafted,bridgmi01
Miles Bridges,CHA,0,FORWARD,79.0,225.0,Michigan State,USA,1998-03-21,https://www.nba.com/player/1628970/miles-bridges,True,False,False,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628970.png,False,1628970,['FORWARD'],FORWARD,,2018,1,12,Drafted,bridgmi02
Al Brightman,RET,8-16,FORWARD,74.0,195.0,University of Charleston,USA,1923-09-22,https://www.nba.com/player/76254/HISTADD-al-brightman,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76254.png,True,76254,['FORWARD'],FORWARD,,0,0,0,UDF,brighal01
Amida Brimah,RET,37,CENTER,82.0,230.0,Connecticut,USA,1994-02-11,https://www.nba.com/player/1628578/amida-brimah,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628578.png,False,1628578,['CENTER'],CENTER,,0,0,0,UDF,brimaam01
Audley Brindley,RET,12-15,FORWARD,76.0,175.0,Dartmouth,USA,1923-12-31,https://www.nba.com/player/76255/HISTADD-aud-brindley,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76255.png,True,76255,['FORWARD'],FORWARD,,0,0,0,UDF,brindau01
Isaiah Briscoe,RET,,GUARD,75.0,215.0,Kentucky,USA,1996-04-13,https://www.nba.com/player/1628515/isaiah-briscoe,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628515.png,False,1628515,['GUARD'],GUARD,,0,0,0,UDF,briscis01
John Brisker,RET,40,FORWARD,77.0,210.0,Toledo,USA,1947-06-15,https://www.nba.com/player/76256/HISTADD-john-brisker,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76256.png,True,76256,['FORWARD'],FORWARD,,0,0,0,UDF,briskjo01
Oshae Brissett,RET,,FORWARD-GUARD,79.0,210.0,Syracuse,Canada,1998-06-20,https://www.nba.com/player/1629052/oshae-brissett,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629052.png,False,1629052,"['FORWARD', 'GUARD']",FORWARD,GUARD,0,0,0,UDF,brissos01
Allan Bristow,RET,23,FORWARD,79.0,210.0,Virginia Tech,USA,1951-08-23,https://www.nba.com/player/76257/HISTADD-allan-bristow,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76257.png,True,76257,['FORWARD'],FORWARD,,1973,1,21,Drafted,bristal01
Tyrone Britt,RET,31,GUARD,76.0,190.0,Johnson C. Smith,USA,1944-04-18,https://www.nba.com/player/76258/HISTADD-tyrone-britt,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76258.png,True,76258,['GUARD'],GUARD,,0,0,0,UDF,brittty01
Wayman Britt,RET,12,GUARD,74.0,185.0,Michigan,USA,1952-08-31,https://www.nba.com/player/76259/HISTADD-wayman-britt,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76259.png,True,76259,['GUARD'],GUARD,,1976,1,60,Drafted,brittwa01
Mike Brittain,RET,40,CENTER,84.0,235.0,South Carolina,USA,1963-06-21,https://www.nba.com/player/76260/HISTADD-mike-brittain,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76260.png,True,76260,['CENTER'],CENTER,,1985,1,29,Drafted,brittmi01
David Britton,RET,33,GUARD,76.0,180.0,Texas A&M,USA,1958-08-29,https://www.nba.com/player/76261/HISTADD-david-britton,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76261.png,True,76261,['GUARD'],GUARD,,1980,1,57,Drafted,brittda01
Izaiah Brockington,RET,,GUARD,76.0,196.0,Iowa State,USA,1999-07-12,https://www.nba.com/player/1631167/izaiah-brockington,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631167.png,False,1631167,['GUARD'],GUARD,,0,0,0,UDF,brockiz01
Jon Brockman,RET,40,FORWARD,79.0,255.0,Washington,USA,1987-03-20,https://www.nba.com/player/201972/jon-brockman,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201972.png,False,201972,['FORWARD'],FORWARD,,2009,2,38,Drafted,brockjo01
Ryan Broekhoff,RET,45,GUARD-FORWARD,78.0,215.0,Valparaiso,Australia,1990-08-23,https://www.nba.com/player/1629151/ryan-broekhoff,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629151.png,False,1629151,"['GUARD', 'FORWARD']",GUARD,FORWARD,0,0,0,UDF,broekry01
Jim Brogan,RET,15,GUARD,76.0,185.0,West Virginia Wesleyan,USA,1958-02-24,https://www.nba.com/player/76262/HISTADD-jim-brogan,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76262.png,True,76262,['GUARD'],GUARD,,0,0,0,UDF,brogaji01
Malcolm Brogdon,WAS,15,GUARD,76.0,229.0,Virginia,USA,1992-12-11,https://www.nba.com/player/1627763/malcolm-brogdon,True,False,False,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627763.png,False,1627763,['GUARD'],GUARD,,2016,2,36,Drafted,brogdma01
Gary Brokaw,RET,7,GUARD,76.0,178.0,Notre Dame,USA,1954-01-11,https://www.nba.com/player/76263/HISTADD-dupp-gary-brokaw,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76263.png,True,76263,['GUARD'],GUARD,,1974,1,18,Drafted,brokaga01
Price Brookfield,RET,17,FORWARD,76.0,185.0,West Texas A&M,USA,1920-05-11,https://www.nba.com/player/76264/HISTADD-price-brookfield,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76264.png,True,76264,['FORWARD'],FORWARD,,0,0,0,UDF,brookpr01
Aaron Brooks,RET,30,GUARD,72.0,161.0,Oregon,USA,1985-01-14,https://www.nba.com/player/201166/aaron-brooks,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201166.png,False,201166,['GUARD'],GUARD,,2007,1,26,Drafted,brookaa01
Armoni Brooks,RET,,GUARD,75.0,195.0,Houston,USA,1998-06-05,https://www.nba.com/player/1629717/armoni-brooks,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629717.png,False,1629717,['GUARD'],GUARD,,2019,1,,Drafted,brookar01
Dillon Brooks,HOU,9,GUARD-FORWARD,78.0,225.0,Oregon,Canada,1996-01-22,https://www.nba.com/player/1628415/dillon-brooks,True,False,False,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628415.png,False,1628415,"['GUARD', 'FORWARD']",GUARD,FORWARD,2017,2,45,Drafted,brookdi01
Kevin Brooks,RET,43,FORWARD,78.0,200.0,Louisiana-Lafayette,USA,1969-10-12,https://www.nba.com/player/76265/HISTADD-kevin-brooks,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76265.png,True,76265,['FORWARD'],FORWARD,,1991,1,18,Drafted,brookke01
MarShon Brooks,RET,,GUARD,77.0,200.0,Providence,USA,1989-01-26,https://www.nba.com/player/202705/marshon-brooks,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202705.png,False,202705,['GUARD'],GUARD,,2011,1,25,Drafted,brookma01
Michael Brooks,RET,35,FORWARD,79.0,220.0,La Salle,USA,1958-08-17,https://www.nba.com/player/76266/HISTADD-michael-brooks,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76266.png,True,76266,['FORWARD'],FORWARD,,1980,1,9,Drafted,brookmi01
Scott Brooks,RET,2,GUARD,71.0,165.0,California-Irvine,USA,1965-07-31,https://www.nba.com/player/418/scott-brooks,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/418.png,False,418,['GUARD'],GUARD,,0,0,0,UDF,brooksc01
Keion Brooks Jr.,NOP,,FORWARD,79.0,210.0,Washington,USA,2000-08-07,https://www.nba.com/player/1631232/keion-brooks-jr,True,False,False,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631232.png,False,1631232,['FORWARD'],FORWARD,,0,0,0,UDF,brookke02
Andre Brown,RET,,FORWARD,81.0,245.0,DePaul,USA,1981-05-12,https://www.nba.com/player/2810/andre-brown,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2810.png,False,2810,['FORWARD'],FORWARD,,0,0,0,UDF,brownan01
Anthony Brown,RET,3,FORWARD-GUARD,79.0,224.0,Stanford,USA,1992-10-10,https://www.nba.com/player/1626148/anthony-brown,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626148.png,False,1626148,"['FORWARD', 'GUARD']",FORWARD,GUARD,2015,2,34,Drafted,brownan02
Bob Brown,RET,,FORWARD,76.0,205.0,Miami (Ohio),USA,1923-11-12,https://www.nba.com/player/76284/HISTADD-bob-brown,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76284.png,True,76284,['FORWARD'],FORWARD,,0,0,0,UDF,brownbo01
Bobby Brown,RET,,GUARD,74.0,175.0,Cal State-Fullerton,USA,1984-09-24,https://www.nba.com/player/201628/bobby-brown,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201628.png,False,201628,['GUARD'],GUARD,,0,0,0,UDF,brownbo02
Bruce Brown,NOP,00,GUARD-FORWARD,76.0,202.0,Miami,USA,1996-08-15,https://www.nba.com/player/1628971/bruce-brown,True,False,False,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628971.png,False,1628971,"['GUARD', 'FORWARD']",GUARD,FORWARD,2018,2,42,Drafted,brownbr01
Chucky Brown,RET,52,FORWARD,80.0,220.0,North Carolina State,USA,1968-02-29,https://www.nba.com/player/359/chucky-brown,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/359.png,False,359,['FORWARD'],FORWARD,,1989,2,43,Drafted,brownch01
Damone Brown,RET,,FORWARD,80.0,202.0,Syracuse,USA,1979-06-28,https://www.nba.com/player/2245/damone-brown,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2245.png,False,2245,['FORWARD'],FORWARD,,2001,2,36,Drafted,brownda01
Darrell Brown,RET,,FORWARD,74.0,175.0,Humboldt State,USA,1923-03-14,https://www.nba.com/player/76270/HISTADD-darrell-brown,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76270.png,True,76270,['FORWARD'],FORWARD,,1948,1,,Drafted,brownda02
Dee Brown,RET,,GUARD,,,Jacksonville,USA,1968-11-29,https://www.nba.com/player/244/dee-brown,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/244.png,False,244,['GUARD'],GUARD,,1990,1,19,Drafted,brownde01
Dee Brown,RET,,GUARD,72.0,185.0,Illinois,USA,1984-08-17,https://www.nba.com/player/200793/dee-brown,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200793.png,False,200793,['GUARD'],GUARD,,2006,2,46,Drafted,brownde02
Derrick Brown,RET,4,FORWARD,80.0,233.0,Xavier,USA,1987-09-08,https://www.nba.com/player/201974/derrick-brown,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201974.png,False,201974,['FORWARD'],FORWARD,,2009,2,40,Drafted,brownde03
Devin Brown,RET,32,GUARD,77.0,210.0,Texas-San Antonio,USA,1978-12-30,https://www.nba.com/player/2484/devin-brown,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2484.png,False,2484,['GUARD'],GUARD,,0,0,0,UDF,brownde04
Ernest Brown,RET,52,CENTER,84.0,244.0,Indian Hills C.C.,USA,1979-05-17,https://www.nba.com/player/2081/ernest-brown,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2081.png,False,2081,['CENTER'],CENTER,,2000,2,52,Drafted,browner01
Fred Brown,RET,32,GUARD,75.0,182.0,Iowa,USA,1948-08-07,https://www.nba.com/player/76272/HISTADD-fred-brown,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76272.png,True,76272,['GUARD'],GUARD,,1971,1,6,Drafted,brownfr01
George Brown,RET,,FORWARD,78.0,190.0,Wayne State,USA,1935-10-30,https://www.nba.com/player/76273/HISTADD-george-brown,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76273.png,True,76273,['FORWARD'],FORWARD,,1957,1,27,Drafted,brownge01
Gerald Brown,RET,4,GUARD,76.0,210.0,Pepperdine,USA,1975-07-28,https://www.nba.com/player/1871/gerald-brown,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1871.png,False,1871,['GUARD'],GUARD,,0,0,0,UDF,brownge02
Harold Brown,RET,,GUARD,72.0,155.0,Evansville,USA,1923-10-02,https://www.nba.com/player/76275/HISTADD-brownie-brown,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76275.png,True,76275,['GUARD'],GUARD,,0,0,0,UDF,brownha01
Jabari Brown,RET,15,GUARD,77.0,214.0,Missouri,USA,1992-12-18,https://www.nba.com/player/203913/jabari-brown,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203913.png,False,203913,['GUARD'],GUARD,,2014,1,,Drafted,brownja01
Jaylen Brown,BOS,7,GUARD-FORWARD,78.0,223.0,California,USA,1996-10-24,https://www.nba.com/player/1627759/jaylen-brown,True,False,False,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png,False,1627759,"['GUARD', 'FORWARD']",GUARD,FORWARD,2016,1,3,Drafted,brownja02
John Brown,RET,32-52,FORWARD,79.0,220.0,Missouri,USA,1951-12-14,https://www.nba.com/player/76276/HISTADD-john-brown,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76276.png,True,76276,['FORWARD'],FORWARD,,1973,1,10,Drafted,brownjo01
Kedrick Brown,RET,,GUARD-FORWARD,79.0,222.0,Northwest Florida State,USA,1981-03-18,https://www.nba.com/player/2208/kedrick-brown,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2208.png,False,2208,"['GUARD', 'FORWARD']",GUARD,FORWARD,2001,1,11,Drafted,brownke01
Kendall Brown,RET,10,GUARD,79.0,205.0,Baylor,USA,2003-05-11,https://www.nba.com/player/1631112/kendall-brown,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631112.png,False,1631112,['GUARD'],GUARD,,2022,2,48,Drafted,brownke02
Kobe Brown,LAC,21,FORWARD,79.0,250.0,Missouri,USA,2000-01-01,https://www.nba.com/player/1641738/kobe-brown,True,False,False,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641738.png,False,1641738,['FORWARD'],FORWARD,,2023,1,30,Drafted,brownko01
Kwame Brown,RET,54,CENTER,83.0,290.0,Glynn Academy HS (GA),USA,1982-03-10,https://www.nba.com/player/2198/kwame-brown,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2198.png,False,2198,['CENTER'],CENTER,,2001,1,1,Drafted,brownkw01
Leon Brown,RET,,FORWARD,75.0,190.0,Wyoming,USA,1919-10-12,https://www.nba.com/player/76278/HISTADD-stretch-brown,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76278.png,True,76278,['FORWARD'],FORWARD,,0,0,0,UDF,brownle01
